ID,XM,YM,Slice
989,1237.687,471.135,18
990,684.819,479.798,18
991,815.317,483.442,18
992,1386.373,505.197,18
993,64.407,579.208,18
994,520.077,717.664,18
995,1060.045,792.852,18
996,1005.367,839.676,18
997,1009.167,885.186,18
998,354.307,932.762,18
999,468.83,922.223,18
1000,39.848,923.348,18
1001,889.806,919.845,18
1002,694.418,972.321,18
1003,203.885,974.639,18
1004,955.56,982.983,18
1005,712.285,1006.645,18
1006,679.123,1010.792,18
1007,122.267,1020,18
1008,397.976,1013.198,18
1009,670.681,16.179,19
1010,1184.562,67.649,19
1011,1124.648,120.706,19
1012,689.34,149.616,19
1013,998.827,168.263,19
1014,557.689,246.399,19
1015,512.676,222.981,19
1016,1013.267,258.874,19
1017,1382.097,309.44,19
1018,503.14,414.702,19
1019,998.52,441.898,19
1020,1191.39,469.13,19
1021,817.807,476.812,19
1022,689.156,485.399,19
1023,1382.095,499.381,19
1024,56.175,590.365,19
1025,528.364,715.668,19
1026,1039.776,799.371,19
1027,1009.828,891.738,19
1028,471.543,917.619,19
1029,36.487,918.277,19
1030,327.779,959.969,19
1031,37.694,950.014,19
1032,950.951,972.17,19
1033,675.255,979.176,19
1034,701.072,1005.753,19
1035,204.825,1003.959,19
1036,676.059,1022.848,19
1037,113.527,1032.39,19
1038,688.439,20.811,20
1039,819.376,7.469,20
1040,195.983,14.406,20
1041,672.743,48.921,20
1042,1193.768,63.384,20
1043,1123.999,121.725,20
1044,699.21,133.404,20
1045,999.312,168.352,20
1046,572.141,249.021,20
1047,517.611,214.345,20
1048,1012.483,255.541,20
1049,498.838,415.367,20
1050,1153.843,449.919,20
1051,1003.335,458.721,20
1052,816.833,478.705,20
1053,1374.917,486.75,20
1054,696.601,491.034,20
1055,46.186,586.986,20
1056,537.501,731.768,20
1057,1014.54,803.936,20
1058,473.648,912.404,20
1059,30.39,914.293,20
1060,1043.959,924.445,20
1061,231.232,929.083,20
1062,953.252,954.588,20
1063,694.152,953.108,20
